Product_ID,Product_Name,Product_Description,Weight,Price
1,Beans - French,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,4.76,8096.85
2,Allspice - Jamaican,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,21.61,5654.11
3,Water - Evian 355 Ml,eu massa donec dapibus duis at velit eu est congue,29.54,8494.69
4,"Pork - Back, Short Cut, Boneless",lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,34.09,3092.43
5,Ginger - Ground,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,28.69,5656.71
6,Pork - Backs - Boneless,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,33.11,1996.93
7,"Doilies - 5, Paper",vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,44.22,3213.73
8,Table Cloth 144x90 White,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,7.43,9343.05
9,"Salmon - Smoked, Sliced",potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,10.79,1505.36
10,"Juice - Pineapple, 341 Ml",volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,37.76,4286.13
11,Eel - Smoked,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,26.61,8639.23
12,Mudslide,ante nulla justo aliquam quis turpis eget elit sodales scelerisque,8.04,5076.7
13,Yoplait Drink,id pretium iaculis diam erat fermentum justo nec condimentum neque,24.97,585.36
14,Kiwi Gold Zespri,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,5.0,1135.43
15,Wine - Charddonnay Errazuriz,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,29.82,9968.63
16,"Cheese - Cheddar, Medium",imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,9.1,8759.0
17,Beef Flat Iron Steak,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,13.07,2300.91
18,Tea - Lemon Green Tea,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,13.9,5370.47
19,Mace,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,14.9,7518.38
20,Beef Ground Medium,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,9.79,921.24
